StateRank,state_2020-01-01,state_2020-06-07,state_2020-09-13,state_2021-03-14,state_2021-06-27,state_2021-10-31,state_2022-03-27,deathrate_2020-01-01,deathrate_2020-06-07,deathrate_2020-09-13,deathrate_2021-03-14,deathrate_2021-06-27,deathrate_2021-10-31,deathrate_2022-03-27
1,NJ,MS,SD,MI,FL,WV,KY,0.00143867946911649,0.00065372975812337,0.00194366328735477,0.000378756294631752,0.00107408335084689,0.00127723613296523,0.00118511051868827
2,CT,AZ,ND,NJ,MS,NM,WV,0.00117900729709922,0.000551436594601432,0.0018563333476194,0.000250399846804058,0.0009726801967194,0.00121940560444301,0.00103511741925772
3,MA,FL,OK,PA,AL,OH,MS,0.00104476991268433,0.000539337628551205,0.00176586543795766,0.000231449926208046,0.000944285380506021,0.00119230744052045,0.000911647228966838
4,DC,SC,AR,WV,TN,KY,PR,0.000852663604829177,0.000496867687642082,0.00153389208380396,0.000211735169715821,0.000941165117611893,0.00105502059421993,0.000892074568513806
5,RI,TX,NM,FL,KY,AZ,OK,0.000804418647920003,0.000494862877283345,0.00147457633397783,0.000206818761901813,0.000904472446534741,0.0010475388774345,0.000854064385810105
6,MI,AL,OH,MD,WV,MI,TN,0.000551008393022599,0.000480935096815017,0.00141936226588239,0.000206152343829073,0.000889511771187101,0.00103244992079787,0.000842774162419737
7,NY,LA,IA,TN,AR,OK,PA,0.000543504482283007,0.000456360696488538,0.0014159517297898,0.000203052712283066,0.000850271905398252,0.00102010602743064,0.000808959670348864
8,PA,GA,KS,MS,MT,PA,OH,0.000503790665013681,0.000373076267261998,0.00138833318383624,0.000189179348124582,0.000838782102848425,0.00099592863485468,0.000790671140266425
9,MD,AR,MO,KY,WY,IN,FL,0.000495813767100999,0.000332741939550443,0.00137974309633055,0.000175925104268347,0.00083168262162927,0.000984415273948414,0.000750431310796998
10,DE,NV,RI,IL,SC,TN,MI,0.000484946494572834,0.000329285200780528,0.00135862970445701,0.000168001789707621,0.000828095084800325,0.000876871123046737,0.000740922358403029
11,IL,TN,IN,SC,OK,NV,NC,0.000455499404746873,0.000260753143439784,0.00135410271353005,0.000165195438911574,0.00082572700803731,0.000867194772993438,0.00072592550359984
12,IN,CA,PA,DC,LA,KS,SC,0.000346290479235975,0.000260232082464205,0.00133021056157416,0.000164415420970739,0.000819096931585091,0.000859309181174845,0.000713480392465612
13,MS,NC,WV,OH,ID,MS,IN,0.000293738965775185,0.000223459155377962,0.00130118822854599,0.000159622929502338,0.000815421280867738,0.0008391387921973,0.000698139883091249
14,CO,OK,MT,NV,GA,MO,MN,0.000260145726548986,0.000196961894304346,0.00127354981384471,0.000158582255567222,0.0007763393057801,0.000838804372555565,0.000674472744776259
15,NH,ID,TX,TX,NV,ND,MO,0.000219771930409907,0.000193041946338665,0.00118919889078773,0.000153714557614307,0.000753186263916467,0.000809234596191937,0.000662228034834179
16,MN,DC,NE,NC,TX,MT,MD,0.000219242255337376,0.000189315171002282,0.00115906607040915,0.000151034815606931,0.000742322238619795,0.000803906481055897,0.00066006626756107
17,OH,MD,WI,VA,AK,ME,MA,0.00020918282069981,0.000187246231548107,0.00111641770539648,0.00014889086126606,0.000719803299121133,0.000793607155483147,0.000645913804723672
18,GA,NM,IL,IN,MO,AR,OR,0.000206570950179783,0.000175596935172633,0.000995460334833883,0.00014720131122173,0.000633347016956618,0.000791126111228251,0.000645166338998066
19,IA,KY,DE,AL,NC,DE,AR,0.000204644201141745,0.000163481512947093,0.000984080854360895,0.000146325623022426,0.000588524760814225,0.000787594859286859,0.000631149813307026
20,VA,VA,CT,CO,OR,WI,NM,0.000202843678496011,0.000157690119926694,0.000947423069073117,0.000143334120265758,0.000530957026546677,0.000764524026999979,0.00062948636945431
21,AL,SD,WY,GA,OH,SD,IA,0.000178065225928205,0.000150926055243441,0.000935357276422613,0.00013780787247165,0.000512272308898077,0.000755486441775793,0.000626358663048796
22,MO,PA,LA,MO,IN,SC,VA,0.00015241063910753,0.000135123935812437,0.000908578591476511,0.000136458082977859,0.000467580635645495,0.000733111790028285,0.00062331937440486
23,WA,NJ,MN,LA,AZ,CO,AL,0.000147840021044548,0.000121004375138583,0.000890709894587728,0.000134643110389845,0.00046724043645592,0.000730386551181325,0.000621854056061475
24,FL,PR,NJ,PR,KS,WY,CT,0.000130376592904392,0.000120369690363446,0.000869578846169946,0.000133631941466758,0.000455760589200755,0.000723218766297022,0.000608679602629867
25,SC,RI,MI,OK,NM,IA,NJ,0.0001192482450341,0.000119477146119638,0.000861492732536941,0.000133529276481762,0.00045442736011715,0.000708671488139566,0.000590255244441759
26,KY,MA,DC,NM,ND,NE,ME,0.000115568342259749,0.00011346564227484,0.000831162260068042,0.000132265759701457,0.000407464440051312,0.000688557986818597,0.000587351798395091
27,WI,MT,MD,ID,WA,AL,AZ,0.000115318737598996,0.000102096097261709,0.000804799248267642,0.000130215375180424,0.000374478471879819,0.000684858234683956,0.000586795683935115
28,NC,UT,ID,MN,VA,IL,WI,0.000106755315668581,9.9878744767785e-05,0.000798687458201221,0.000127492843611577,0.000343869739324329,0.000681778977753021,0.000577793613633917
29,NE,WA,VA,CT,HI,MN,WA,0.000102380056161318,9.9811432771757e-05,0.00079595648800859,0.000126814424433171,0.000342838579017035,0.000648195061051052,0.000562157313102062
30,KS,WV,CO,DE,IA,NC,GA,8.54286612818247e-05,9.32147478010809e-05,0.000740937066248125,0.000122402553138133,0.00034084399226503,0.000642342716320942,0.000531247690195797
31,ND,HI,MA,AR,PA,RI,LA,7.69661977287275e-05,8.75149274969835e-05,0.000689586473425723,0.000122174992231982,0.000334803229909847,0.000627262724081097,0.000528324332484286
32,TN,CO,NY,OR,UT,ID,IL,6.52604766527035e-05,7.81301451163733e-05,0.000576055597334839,0.000121462293240988,0.000330310329998886,0.000626225213156001,0.000527421343738724
33,VT,OR,NH,AZ,CO,NH,KS,5.28824019809126e-05,7.72665725019576e-05,0.000565088851915107,0.00011811640227064,0.000322458753154899,0.000610442553943262,0.000521292650626372
34,ME,CT,UT,NY,NE,VA,CA,4.69030433479392e-05,7.37927753518714e-05,0.000563950948369444,0.00011387831671227,0.000312587024176621,0.00060612861362065,0.000517826407355852
35,SD,ND,ME,ME,WI,MD,CO,4.61788676491127e-05,6.41384981072729e-05,0.000454742712704514,0.000111692378880857,0.000300681397107268,0.000599475802573531,0.000512434288913546
36,OR,NH,PR,MA,SD,NJ,NE,4.19312497114282e-05,6.02015518944631e-05,0.000454142646179323,0.000106837133154966,0.000293428866929451,0.000587517873528547,0.000480548836516324
37,UT,DE,OR,WA,DE,CT,NV,3.44094456059747e-05,5.64594671436147e-05,0.000413466566799433,0.000103727565684544,0.00029157681357295,0.000566191013137699,0.000480413566960208
38,PR,NY,WA,IA,CA,TX,NY,3.41301400524202e-05,4.19802125969487e-05,0.000396841138961929,0.000101940496769174,0.000287673591508098,0.000564248880225763,0.000478135837076449
39,WV,AK,AK,KS,MI,GA,TX,3.12576399812008e-05,0,0.000264406955223909,9.01990710516803e-05,0.000272062977548478,0.000539752344513896,0.000444241898528729
40,ID,ME,VT,RI,IL,MA,NH,2.48737521892957e-05,0,0.000111708467633128,8.84155567627875e-05,0.000237109467744011,0.000510542365539133,0.000368698266248037
41,AK,VT,,WI,ME,OR,DE,0,0,,8.65649497328051e-05,0.000231362784824632,0.000509336472935247,0.000306976506950439
42,MT,WY,,CA,MN,LA,ID,0,0,,8.00100957822009e-05,0.000208990326633517,0.000503610667909111,0.000285305493480063
